Latitude, Longitude, Rainfall_mm, Flood_Prone
27.7172, 85.3240, 300, 1
27.7132, 85.3260, 150, 0
27.7192, 85.3200, 250, 1
27.7250, 85.3050, 100, 0
27.7100, 85.3500, 200, 1
27.7125, 85.3300, 180, 1
27.7350, 85.3090, 500, 1
27.7255, 85.3075, 320, 0
27.7185, 85.3160, 380, 1
27.7200, 85.3275, 230, 1
27.7150, 85.3100, 150, 0
27.7300, 85.3150, 270, 1
27.7220, 85.3305, 400, 1
27.7050, 85.3400, 120, 0
27.7105, 85.3250, 220, 0
27.7178, 85.3330, 340, 1
27.7055, 85.3365, 180, 0
27.7310, 85.3120, 500, 1
27.7245, 85.3055, 270, 1
27.7380, 85.3085, 300, 0
